"name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","languagedependence","average","numwanting","numcomments","numplays","numplays_month","news","blogs","podcast","boardgamedesigner_cnt","boardgamepublisher_cnt","boardgamehonor_cnt","desc_word_count","dif_players","main_category","difficulty"
"Dice Heist",2016,2,5,20,20,14,1,6.31282,14,97,1594,8,1,10,0,2,1,0,101,3,"Dice","Simple"
"Resistor_",2015,2,2,20,20,8,1,6.53918,16,134,640,1,2,11,8,2,3,0,104,0,"Abstract Strategy","Simple"
"Go Go Gelato!",2017,2,4,15,15,6,1,6.42473,17,72,1011,12,3,2,1,1,6,0,112,2,"Action / Dexterity","Simple"
"Level 7 [Escape]",2012,1,4,45,45,14,4,6.05294,74,240,1334,3,3,16,4,1,1,0,181,3,"Science Fiction","Complex"
"Campaign Commander Volume I  Roads to Stalingrad",2009,2,2,180,180,0,4,7.64496,18,60,156,0,0,0,0,1,1,0,550,0,"Wargame","Simple"
"Cedar Mountain  Prelude to Bull Run",1981,2,2,360,360,12,0,6.98973,3,130,85,0,0,0,0,3,1,1,125,0,"Wargame","Complex"
"Firestorm Armada",2009,2,4,90,90,12,3,7.25701,9,54,243,0,0,4,7,6,1,0,158,2,"Miniatures","Complex"
"Karesansui",2013,3,6,45,60,10,1,6.49395,25,117,790,0,2,19,0,1,1,1,192,3,"Abstract Strategy","Simple"
"RattleSnake",2007,2,4,15,15,8,1,5.87562,23,466,6644,9,0,6,7,1,5,2,126,2,"Action / Dexterity","Simple"
"Fae",2018,2,4,30,30,10,0,6.58615,28,65,826,7,2,3,3,1,3,0,226,2,"Abstract Strategy","Simple"
"Airborne in my Pocket",2009,1,2,15,15,10,2,7.01395,11,131,816,1,1,0,0,1,2,2,286,1,"Wargame","Simple"
"Hornet",2010,2,5,45,45,10,1,6.2244,16,207,777,0,1,3,1,2,2,0,291,3,"Animals","Simple"
"Floating Market",2015,2,5,30,45,13,1,6.25691,30,157,877,2,1,17,6,2,1,0,257,3,"Dice","Simple"
"Verflixxt! kompakt",2009,2,4,20,20,8,1,6.49962,8,65,921,1,0,1,0,2,1,0,107,2,"Humor","Simple"
"L'A\u00e9ropostale",2013,2,5,70,70,12,1,6.98,23,51,281,2,0,4,1,2,1,0,65,3,"Other","Complex"
"Baptism By Fire  The Battle of Kasserine",2017,1,2,240,720,0,0,8.29316,31,51,169,0,0,3,0,1,1,1,539,1,"Wargame","Complex"
"Eastern Front Tank Leader",1986,2,2,90,90,12,2,6.80245,26,101,118,0,0,1,1,3,1,0,99,0,"Wargame","Complex"
"Catacombs Conquest",2018,2,4,15,30,14,0,7.13621,36,71,447,8,0,1,2,1,1,0,32,2,"Action / Dexterity","Simple"
"Locke & Key  The Game",2012,3,6,30,30,15,2,6.32251,16,104,742,1,0,1,3,1,1,1,164,3,"Card Game","Simple"
"This Hallowed Ground",1998,2,6,360,360,14,0,7.90636,37,58,52,0,0,0,0,2,1,2,144,4,"Wargame","Complex"
"Just Desserts",2015,2,5,25,25,8,2,6.14242,13,151,3057,15,1,18,4,1,2,0,282,3,"Card Game","Simple"
